,artist,songs
0,harry styles,as it was
1,jack harlow,first class
2,glass animals,heat waves
3,latto,big energy
4,imagine dragons x jid,enemy
5,the kid laroi & justin bieber,stay
6,morgan wallen,don't think jesus
7,doja cat,woman
8,kodak black,super gremlin
9,justin bieber,ghost
10,lil nas x,thats what i want
11,ed sheeran,bad habits
12,gayle,abcdefu
13,ed sheeran,shivers
14,elton john & dua lipa,cold heart (pnau remix)
15,adele,easy on me
16,doja cat,need to know
17,the weeknd & ariana grande,save your tears
18,post malone & the weeknd,one right now
19,lil baby,in a minute
20,dua lipa,levitating
21,cody johnson,'til you can't
22,lil nas x & jack harlow,industry baby
23,becky g x karol g,mamiii
24,camila cabello featuring ed sheeran,bam bam
25,muni long,hrs and hrs
26,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",we don't talk about bruno
27,lil baby,right on
28,cole swindell / lainey wilson,never say never
29,luke combs,doin' this
30,morgan wallen,wasted on you
31,walker hayes,aa
32,olivia rodrigo,good 4 u
33,megan thee stallion & dua lipa,sweetest pie
34,lauren spencer-smith,fingers crossed
35,sza,i hate u
36,dove cameron,boyfriend
37,jnr choi & sam tompkins,to the moon!
38,doja cat & the weeknd,you right
39,em beihold,numb little bug
40,walker hayes,fancy like
41,morgan wallen,sand in my boots
42,lil durk featuring gunna,what happened to virgil
43,gunna & future featuring young thug,pushin p
44,"dierks bentley, breland & hardy",beers on me
45,tiesto & ava max,the motto
46,tate mcrae,she's all i wanna be
47,shawn mendes,when you're gone
48,jordan davis featuring luke bryan,buy dirt
49,lizzo,about damn time
50,"kay flock, cardi b, dougie b & bory300",shake it
51,charlie puth,light switch
52,miranda lambert,if i was a cowboy
53,fireboy dml & ed sheeran,peru
54,lauren spencer-smith,flowers
55,jack harlow,nail tech
56,tyga x doja cat,freaky deaky
57,sam hunt,23
58,jason aldean,trouble with a heartbreak
59,lil durk featuring morgan wallen,broadway girls
60,eric church,heart on fire
61,summer walker & sza,no love
62,jessica darrow,surface pressure
63,thomas rhett,slow down summer
64,ernest featuring morgan wallen,flower shops
65,carly pearce & ashley mcbryde,never wanted to be that girl
66,"nardo wick, lil baby & future",me or sum
67,lil durk,ahhh ha
68,hardy,give heaven some hell
69,russ featuring ktlyn,handsomer
70,anitta,envolver
71,nicki minaj x lil baby,do we have a problem?
72,doja cat,get into it (yuh)
73,gucci mane featuring lil durk,rumors
74,parmalee,take my name
75,scotty mccreery,damn strait
76,maren morris,circles around this town
77,lil tjay,in my head
78,4*town (from disney and pixar's turning red),nobody like u
79,yahritza y su esencia,soy el unico
80,the walters,i love you so
81,blake shelton,come back as a country boy
82,6ix9ine,gine
83,"fivio foreign, kanye west & alicia keys",city of gods
84,5 seconds of summer,complete mess
85,kane brown,leave you alone
86,imagine dragons,bones
87,gunna,banking on me
88,russell dickerson & jake scott,she likes it
89,ari lennox,pressure
90,rauw alejandro & chencho corleone,desesperados
91,lucky daye,over
92,"stephanie beatriz, olga merediz & encanto cast",the family madrigal
93,queen naija & big sean,hate our love
94,sebastian yatra,dos oruguitas
95,gunna featuring drake,p power
96,yeat,money so big
97,coi leray & nicki minaj,blick blick!
98,bailey zimmerman,fall in love
99,daddy yankee & bad bunny,x ultima vez
